     0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f    0123456789abcdef
00: 00 7e 9e 35 28 bc 51 00 00 55 f2 55 aa 00 00 b6    .~?5(?Q..U?U?..?
10: 02 57 82 00 00 ae 34 2d be 00 00 0e 15 12 ce 00    ?W?..?4-?..????.
20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
70: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
80: 32 3c 10 03 41 a0 01 c8 06 28 7c 7a 79 15 75 02    2<??A????(|zy?u?
90: 4b c6 73 7b a8 50 ea 50 5e ca 02 87 e7 82 ca 47    K?s{?P?P^??????G
a0: ff aa fb 55 01 01 15 01 79 00 00 00 00 00 00 00    .??U????y.......
b0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
c0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
d0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
e0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00    ................
f0: 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00    ............?...
